Model,CV RMSE,CV MAE,CV R2
Random Forest (light),38241.22908703571,23337.355297015616,0.9180194270970174
HistGradientBoosting,40856.56744349103,26696.09857339096,0.9064282220464683
Decision Tree,46645.61999838258,29005.23127521029,0.8779989070028698
Ridge Regression,55732.455031619735,37310.80565114509,0.8258666767232652
